['imprimé'],印花
"['en', 'coton']",棉质
['Couverture'],毯子
[],填充
[],棉质
[],平纹
"['en', 'jersey', 'de', 'coton', 'rembourré']",针织
['Couverture'],毯子
['imprimé'],印花
"['en', 'coton']",棉质
['Bob'],渔夫帽
[],印花
"['en', 'velours', 'imprimé']",天鹅绒
['Chouchou'],发圈
"['de', 'laine']",羊毛
"['en', 'maille']",针织
['Écharpe'],围巾
['mélangée'],混纺
[],嵌花
"['en', 'laine']",羊毛
[],Icon
[],条纹
['Écharpe'],围巾
"['de', 'laine']",羊毛
"['en', 'maille']",针织
['Écharpe'],围巾
['franges'],流苏
[],格纹
"['intarsia', 'à', 'carreaux']",嵌花
"['en', 'cachemire']",羊绒
['Écharpe'],围巾
"['à', 'carreaux']",格纹
"['en', 'nylon']",尼龙
"['Sac', 'à', 'dos']",双肩包
[],格纹
[],印花
"['de', 'coton', 'à', 'carreaux']",棉质
"['en', 'toile']",帆布
"['Sac', 'à', 'dos']",双肩包
[],贴片
"['avec', 'patch']",印花
"['en', 'fausse', 'fourrure']",人造皮草
"['Sac', 'à', 'dos']",双肩包
"['à', 'rayures']",条纹
"['en', 'coton']",棉质
['Bonnet'],帽子
['intarsia'],嵌花
[],羊毛
"['en', 'laine', 'mélangée']",混纺
[],Icon
[],条纹
['Bonnet'],便帽
['imprimé'],印花
"['en', 'coton', 'biologique']",有机棉
['Bonnet'],便帽
"['avec', 'patch']",贴片
"['en', 'coton', 'mélangé']",混棉
['Bonnet'],便帽
"['à', '', 'brodé']",刺绣
"['en', 'coton']",棉质
['Casquette'],棒球帽
['imprimé'],印花
"['en', 'coton']",棉质
['Serre-tête'],发夹
[],心形
"['avec', 'log']",顶部
[],Logo
"['à', 'carreaux']",格纹
['tressé'],编织
"['Sac', 'à', 'main']",手提包
['mélangée'],混纺
"['en', 'soie']",真丝
"['porté', 'épaule']",单肩包
['Sac'],心形
[],格纹
"['en', 'simili-cuir', 'à', 'carreaux']",仿皮
"['porté', 'épaule']",单肩包
['Sac'],Logo
[],羊毛
"['en', 'maille']",针织
['Bonnet'],便帽
[],印花
[],条纹
"['à', 'rayures']",手拿
['Pochette'],包
"['à', 'patch']",贴片
"['en', 'coton']",棉质
['Bob'],渔夫帽
[],草编
"['cabas', 'en', 'paille']",托特
['Sac'],包
['à'],小熊
"['Sac', 'à', 'dos']",双肩包
"['en', 'simili-cuir']",仿皮
"['Sac', 'porté', 'épaule']",单肩包
['recyclé'],再生
['mélangé'],混合
"['en', 'polyéthylène']",聚乙烯
"['Lunettes', 'de', 'soleil']",太阳镜
[],羊绒
['laine'],羊毛
"['en', 'cachemire', 'et']",amp
[],&
[],;
['Casquette'],棒球帽
"['en', 'coton']",棉质
['Bonnet'],便帽
[],logo
[],绗缝
[],尼龙
['Couvertureennylonmatelassée'],毯子
['embelli'],装饰
[],科技
['tissé'],编织
['technique'],织物
[],Logo
"['en', 'tissu']",手拿
['Pochette'],包
['imprimé'],印花
"['en', 'coton']",棉质
['Couverture'],毯子
"['en', 'polycarbonate']",聚碳酸酯
[],猫眼
"['Lunettes', 'de', 'soleil']",太阳镜
['imprimé'],印花
"['en', 'coton']",棉质
['Serre-tête'],发夹
"['à', 'paillettes']",亮粉
[],猫眼
"['Lunettes', 'de', 'soleil']",太阳镜
['Iiprimé'],印花
['recyclé'],再生
"['banane', 'en', 'nylon']",尼龙
['Sac'],腰包
[],印花
"['en', 'simili-cuir', 'imprimé']",仿皮
"['Sac', 'à', 'main']",手提包
"['en', 'perles']",珠饰
['Serre-tête'],发夹
[],巴洛克
['Baroque'],印花
"['en', 'coton', 'imprimé']",棉质
['Serviette'],毛巾
"['en', 'polycarbonate']",聚碳酸酯
"['de', 'soleil']",太阳镜
['Lunettes'],Fish
['jacquard'],提花
[],棉质
"['en', 'coton']",发
['Bandeau'],带
"['en', 'forme', 'de', 'cœur']",心形
"['Lunettes', 'de', 'soleil']",太阳镜
['technique'],科技
"['en', 'tissu']",织物
['bag'],托特
['Tote'],包
[],印花
['imprimé'],双面
['interlock'],布
"['en', 'coton']",棉质
['Couverture'],毯子
['GG'],G
['mélangé'],混纺
"['à', 'dos', 'en', 'lin']",亚麻
[],互扣
[],式
['Sac'],双肩包
['imprimé'],印花
[],混棉
"['en', 'coton', 'mélangé']",包
"['Tote', 'bag']",托特
[],棉质
[],平纹
['coton'],针织
"['en', 'jersey', 'de']",发
['Bandeau'],带
['Chapeau'],草帽
[],印花
"['à', 'imprimé']",棉
"['et', 'coton']",真丝
[],周身
"['en', 'soie']",amp
[],&
[],;
['Foulard'],围巾
[],心形
"['avec', 'cœurs']",发夹
"['en', 'satin']",薄纱
['Serre-tête'],绸缎
"['en', 'cachemire']",羊绒
['Couverture'],毯子
[],巴洛克
"['imprimé', 'Baroque']",印花
['mélangé'],混纺
"['en', 'modal']",莫代尔
['Foulard'],围巾
[],棉质
"['en', 'gabardine', 'de', 'coton']",华达呢
['Casquette'],棒球帽
[],棉质
[],平纹
['coton'],针织
"['en', 'jersey', 'de']",发
['Bandeau'],带
[],条纹
"['en', 'soie', 'à', 'rayures']",真丝
['Chouchou'],发圈
['marguerite'],雏菊
['pailletée'],亮粉
"['à', 'monture']",镜框
"['Lunettes', 'de', 'soleil']",太阳镜
[],印花
"['banane', 'en', 'simili-cuir', 'imprimé']",仿皮
['Sac'],腰包
['IMPRIMÉ'],印花
[],尼龙
"['BOB', 'EN', 'NYLON']",渔夫帽
['technique'],科技
[],织物
"['en', 'nylon']",尼龙
"['de', 'ski']",滑雪
['Gants'],手套
"['en', 'coton']",棉质
"['porté', 'épaule']",单肩包
['Sac'],周身
[],棉质
"['en', 'gabardine', 'de', 'coton']",华达呢
['Casquette'],棒球帽
['Medusa'],美杜莎
['Porte-clés'],钥匙链
[],Logo
[],条纹
[],科技
[],织物
"['technique', 'tissé', 'à', 'rayures']",编织
"['en', 'tissu']",手拿
['Pochette'],包
['matelassé'],绗缝
"['de', 'coton']",棉质
"['en', 'sergé']",斜纹
"['Sac', 'de', 'couchage']",睡袋
"['à', 'carreaux']",格纹
"['en', 'nylon']",尼龙
"['à', 'langer']",妈咪
['Sac'],包
[],羊绒
['laine'],羊毛
"['en', 'cachemire', 'et']",amp
[],&
[],;
['Casquette'],棒球帽
['Medusa'],美杜莎
['Porte-clés'],钥匙链
"['à', 'motif', 'GG']",G
[],互扣
"['en', 'coton']",棉质
[],式
['Couverture'],毯子
[],印花
['bio'],有机棉
[],毯子
"[""d'oreiller"", 'en', 'coton']",amp
"['de', 'couette', 'taie']",抱枕
[],&
['Housse'],;
"['avec', 'pompon']",绒球
[],初
"['de', 'laine', 'vierge']",剪羊毛
[],装饰
"['en', 'maille']",针织
['Bonnet'],便帽
[],羊毛
[],混纺
['Plaidenlainemélangéeà'],毯子
"['avec', 'pompon']",绒球
[],初
"['de', 'laine', 'vierge']",剪羊毛
[],装饰
"['en', 'maille']",针织
['Bonnet'],便帽
['Ceinture'],腰带
[],棉质
"['en', 'gabardine', 'de', 'coton']",华达呢
['Casquette'],棒球帽
[],周身
"['en', 'laine']",羊毛
['Écharpe'],围巾
"['en', 'peluche', 'avec', 'sweat-shirt']",卫衣
['Ours'],泰迪熊
[],羊毛
"['de', 'laine', 'mélangée']",混纺
"['en', 'maille']",针织
['Bonnet'],便帽
[],格纹
"['en', 'coton', 'à', 'carreaux']",棉质
['Chouchou'],发圈
['imprimé'],印花
[],混棉
"['en', 'coton', 'mélangé']",包
"['Tote', 'bag']",托特
[],网眼布
[],妈咪
[],尿布
"['à', 'langer']",更换
[],珠地
[],amp
['matelas'],垫
[],印花
[],包
[],&
['Sac'],;
[],仿皮
['Ceinture'],腰带
['imprimé'],印花
[],棉质
"['de', 'coton']",发夹
"['en', 'jersey']",平纹
['Serre-tête'],针织
"['en', 'simili-cuir']",仿皮
"['Sac', 'porté', 'épaule']",单肩包
"['avec', 'boucle']",搭扣
"['en', 'cuir']",皮革
['Ceinture'],腰带
"['en', 'simili-cuir']",棉质
['Bob'],渔夫帽
['ourson'],小熊
[],印花
['imprimé'],amp
"['et', 'soie']",真丝
"['en', 'coton']",棉
[],&
[],;
['Écharpe'],围巾
['DÉTAILS'],细节
[],织带
"['ÉLASTIQUE', 'AVEC']",松紧
['CEINTURE'],腰带
[],初
"['torsadée', 'de', 'laine', 'vierge']",剪羊毛
[],扭绳
"['en', 'maille']",针织
['Bonnet'],便帽
"['en', 'polycarbonate']",聚碳酸酯
['rondes'],圆形
"['Lunettes', 'de', 'soleil']",太阳镜
"['EN', 'CUIR', 'AVEC']",皮革
['CEINTURE'],腰带
[],格纹
"['à', 'carreaux']",美利奴
"['en', 'laine', 'mérinos']",羊毛
"['en', 'peluche']",玩具
['Ours'],小熊
[],连帽
"['à', 'capuche']",羽绒
"['en', 'nylon']",尼龙
"['de', 'couchage']",睡袋
['Sac'],Logo
"['EN', 'CUIR', 'AVEC']",皮革
['CEINTURE'],腰带
[],初
"['torsadée', 'de', 'laine', 'vierge']",剪羊毛
[],扭绳
"['en', 'maille']",针织
['Bonnet'],便帽
[],星星
"['imprimé', 'étoiles']",印花
"['en', 'coton', 'bio']",有机棉
[],amp
['bavoir'],围嘴
[],帽子
[],&
